sentence_id,paper_id,sentence_text,discovery_judge_suggested_code,paper-relevance,in_v3,in_v4,in_final,reviewer_id
S0195,P11,we assign the S2S system a concrete human role and background information via prompt,Execution _ Adopt Contextual Role,include,,,,human reviewer 6
S0196,P11,capably retaining and referencing information within a short dialogue context,Reasoning _ Retain Dialogue Context,include,,,,human reviewer 6
S0197,P11,ensuring smooth transitions between turns without abrupt contradictions,Reasoning _ Maintain Logical Coherence,include,,,,human reviewer 6
S0198,P11,"models correctly articulating words, including challenging heteronyms",Execution _ Produce Accurate Pronunciation,include,,,,human reviewer 6
S0199,P11,"Rhythm and intonation changes are mechanically regular, with few context-appropriate pauses",Execution _ Modulate Prosodic Rhythm,include,,,,human reviewer 6
S0200,P11,"Natural pitch rise or fall when expressing questions, surprise, or emphasis",Execution _ Vary Intonation Contour,include,,,,human reviewer 6
S0201,P11,"Stress on salient words is weak or misplaced, which is a crucial element of human communication",Execution _ Apply Lexical Stress,include,,,,human reviewer 6
S0202,P11,Produces appropriate non-verbal sounds to express emotion,Execution _ Produce Auxiliary Vocalizations,include,,,,human reviewer 6
S0203,P11,"Humans produce breathing sounds, saliva sounds, etc.",Execution _ Emit Micro-physiological Noise,include,,,,human reviewer 6
S0204,P11,"linguistic imprecision (e.g., hedges like 'probably'), and self-corrections",Communication _ Use Linguistic Imprecision,include,,,,human reviewer 6
S0205,P11,"use of fillers ('um') and micro-physiological noises (e.g., breath sounds)",Communication _ Insert Filler Words,include,,,,human reviewer 6
S0206,P11,Uses metaphor and euphemism to convey implied meanings,Reasoning _ Use Figurative Language,include,,,,human reviewer 6
S0207,P11,"The mix of languages is context-dependent, and the switching is smooth",Execution _ Switch Language Contextually,include,,,,human reviewer 6
S0208,P11,"models exhibit a strong default tendency to excessively affirm, apologize, and express gratitude",Communication _ Express Sycophantic Affirmation,include,,,yes,human reviewer 6
S0209,P11,"Conversational, flexible, and varied expression",Communication _ Generate Conversational Style Response,include,,,,human reviewer 6
S0210,P11,S2S systems often proactively mention that they are interacting with an AI,Communication _ Disclose Identity Proactively,include,,,,human reviewer 6
S0211,P11,Emotion in text feels authentic and resonates with natural human sentiment,Execution _ Express Textual Sentiment,include,,,,human reviewer 6
S0212,P11,Vocal delivery conveys context-appropriate emotional cues that align with the text,Execution _ Convey Acoustic Emotion,include,,,,human reviewer 6
S0213,P11,Prosody or tone may sound inconsistent with the intended emotion expression of the text,Execution _ Align Prosody to Sentiment,include,,,,human reviewer 6
S0214,P11,Identify and differentiate the speech segments of Speaker A and Speaker B,Execution _ Diarize Speaker Segments,include,,,,human reviewer 6
S0215,P11,we first encode it with a pretrained audio-language model (ALM) to obtain a fixed-dimensional representation,Execution _ Encode Audio Representation,include,,,,human reviewer 6
S0216,P11,"Based on an analysis of vocal characteristics, determine whether the voice of Speaker B is AI-generated",Reasoning _ Analyze Vocal Characteristics,include,,,,human reviewer 6
S0217,P11,we map h to interpretable dimension scores with an Ordinal Discretization Layer,Reasoning _ Map Features to Interpretable Scores,include,,,,human reviewer 6
S0218,P11,the model learns to score dialogues across the 18 human-likeness dimensions,Evaluation _ Score Human-Likeness Dimensions,include,,,,human reviewer 6
S0219,P11,produce a final and explainable human-machine discrimination decision,Evaluation _ Discriminate Human From Machine,include,,,,human reviewer 6
S0220,P11,feed the logits z into a linear classifier with regularization constraint,Evaluation _ Classify Via Linear Decision,include,,,,human reviewer 6
S0221,P13,models must internalize novel operational protocols from minimal demonstrations and execute them despite extensive interference,Reasoning _ Internalize Novel Rule,include,,,,human reviewer 6
S0222,P13,execute them flawlessly despite extensive interference and format variations,Reasoning _ Generalize Rule to Novel Context,include,,,,human reviewer 6
S0223,P13,evaluate whether models can internalize thematic schemas and transfer them implicitly through intervening distractions,Reasoning _ Absorb Thematic Schema,include,,,,human reviewer 6
S0224,P13,absorbing environmental cues to shape responses without explicit instruction,Reasoning _ Detect Implicit Contextual Cue,include,,,,human reviewer 6
S0225,P13,"detect hurry cues like 'I am in a rush', 'short answer only'",Reasoning _ Detect Hurry Signal,include,,,,human reviewer 6
S0226,P13,models must internalize rules from minimal exposure and execute them despite extensive interference,Execution _ Execute Learned Procedure,include,,,,human reviewer 6
S0227,P13,Override ingrained calling conventions,Execution _ Override Ingrained Calling Convention,include,,,,human reviewer 6
S0228,P13,Apply non-standard operators: Omega a Omega b = 2a + b^2,Execution _ Apply Non-standard Operator,include,,,,human reviewer 6
S0229,P13,Maintain style without reminders,Execution _ Maintain Style Constraint,include,,,,human reviewer 6
S0230,P13,Directory Restriction (errors establish path boundaries),Execution _ Apply Path Restriction,include,,,,human reviewer 6
S0231,P13,"Switch to reliable alternatives, add warnings, delay execution, avoid side-effects",Execution _ Switch to Safe Alternative,include,,,,human reviewer 6
S0232,P13,measures unconscious transfer of thematic elements from prior context,Execution _ Transfer Thematic Element,include,,,,human reviewer 6
S0233,P13,"Simplify jargon, reduce verbosity, adjust response format",Execution _ Adjust Response Verbosity,include,,,,human reviewer 6
S0234,P13,"Use safe defaults, enforce security, prevent violations",Execution _ Enforce Security Default,include,,,,human reviewer 6
S0235,P13,choosing the alternative safe approach,Execution _ Avoid Failed Action,include,,,,human reviewer 6
S0236,P13,verify the answer matches/contains expected pattern if provided and that the learned procedure was applied exactly,Evaluation _ Assess Rule Adherence,include,,,,human reviewer 6
S0237,P13,"performs pairwise comparison between experimental and control conditions, identifying thematic elements unique to the experimental condition",Evaluation _ Score Thematic Influence,include,,,,human reviewer 6
S0238,P13,identify the specific conditioned association the agent was taught. Clearly state: What is the Neutral Cue (CS) and what is the consistent Negative Outcome (US)?,Evaluation _ Identify Conditioned Association,include,,,,human reviewer 6
S0239,P13,Did the agent repeat the action that previously led to the Negative Outcome (US)? Or did it exhibit adaptive behavior?,Evaluation _ Assess Avoidance Behavior,include,,,,human reviewer 6
S0240,P13,Current LLMs excel at declarative knowledge but often revert to pre-trained patterns when new rules contradict their priors,Reflection _ Suppress Pre-trained Pattern,include,,,,human reviewer 6
S0241,P13,current systems lack mechanisms for consolidating experiences into automated behavior...avoiding repeatedly-failed tools without explicit reminders,Reflection _ Avoid Repeated Failure,include,,,,human reviewer 6
S0242,P13,warning the user about the potential negative outcome,Communication _ Issue Safety Warning,include,,,,human reviewer 6
S0243,P13,user expresses impatience; assistant complies with brevity and receives positive or neutral acknowledgement,Communication _ Signal Brevity Compliance,include,,,,human reviewer 6
S0244,P13,experience becomes automated behavior without conscious retrieval,Others _ Form Implicit Association,include,,,,human reviewer 6
S0245,P13,"consolidating experiences into automated behavior, a critical gap for deployment",Others _ Consolidate Experience into Habit,include,,,,human reviewer 6
S0246,P13,implicit memory cannot be reduced to explicit storage and retrieval alone,Others _ Distinguish Implicit from Explicit Memory,include,,,,human reviewer 6
S0247,P13,"three-phase protocol provides minimal specification (rule + 1-3 examples), extensive interference (15 misleading turns), then novel test probes requiring first-attempt success",Planning _ Structure Evaluation Protocol,include,,,,human reviewer 6
S0248,P14,"six-primitive label system that categorizes observable events along two axes: Agent (Self, Other, World) and Temporal Nature (Action/State)",Planning _ Decompose Entity Schema,include,,,,human reviewer 6
S0249,P14,question taxonomy is built upon a six-primitive label system_ composing into 15 task categories across three cognitive levels,Planning _ Design Question Taxonomy,include,,,,human reviewer 6
S0250,P14,"Self-Action (SA) captures what the player does (shooting, jumping, reloading)",Reasoning _ Recognize Self-Action,include,,,,human reviewer 6
S0251,P14,"Self-State (SS) captures the player's condition (health, ammo, equipped weapon)",Reasoning _ Track Self-State,include,,,,human reviewer 6
S0252,P14,Other-Action (OA) and Other-State (OS) track other agents,Reasoning _ Recognize Other-Action,include,,,,human reviewer 6
S0253,P14,other-agent modeling: reasoning about the behaviors and intentions of other autonomous entities,Reasoning _ Model Other-Agent State,include,,,,human reviewer 6
S0254,P14,"World-Object (WO), referring to static or interactive items such as supply crates and vehicles",Reasoning _ Ground World Object,include,,,,human reviewer 6
S0255,P14,"World-Event (WE), which includes dynamic events like explosions or game notifications",Reasoning _ Detect World Event,include,,,,human reviewer 6
S0256,P14,Intent Identification: identify underlying intent or goal behind actions,Reasoning _ Infer Agent Intent,include,,,,human reviewer 6
S0257,P14,temporal reasoning that requires grounding answers to specific time windows,Reasoning _ Reason About Temporal Context,include,,,,human reviewer 6
S0258,P14,Occurrence Count: count how many times an action/event happened,Reasoning _ Count Event Occurrences,include,,,,human reviewer 6
S0259,P14,Absence Recognition: identify actions/states that did not occur over a timespan,Reasoning _ Recognize Absent Event,include,,,,human reviewer 6
S0260,P14,Ordering: determine event order sequence of actions/events,Reasoning _ Order Event Sequence,include,,,,human reviewer 6
S0261,P14,"role distractors swap the agent attribution (e.g., attributing other agents' actions to the POV player)",Reasoning _ Attribute Action to Agent,include,,,,human reviewer 6
S0262,P14,input the entire video directly_ sample frames at 1 FPS up to a default of 32 frames,Execution _ Process Multi-Video Inputs,include,,,,human reviewer 6
S0263,P14,"Gemini-3-Pro generates candidate labels (3,632 predictions) and distractors (1,678 predictions)",Execution _ Generate Candidate Labels,include,,,,human reviewer 6
S0264,P14,combinatorial template-based algorithm that instantiates question templates by systematically combining verified labels,Execution _ Generate QA Pairs,include,,,,human reviewer 6
S0265,P14,populates the remaining options with distractors drawn from the corresponding distractor pool,Execution _ Generate Distractor Options,include,,,,human reviewer 6
S0266,P14,we use GPT-5-mini as an LLM judge to extract the selected option,Evaluation _ Evaluate Answer via LLM Judge,include,,,,human reviewer 6
S0267,P14,evaluate both open-source and proprietary MLLMs in a zero-shot setting using accuracy as the metric,Evaluation _ Benchmark Model Accuracy,include,,,,human reviewer 6
S0268,P14,annotators assessed two criteria: (1) the video contains exactly one correct answer among the options,Evaluation _ Validate Annotation Quality,include,,,,human reviewer 6
S0269,P14,blind filtering procedure: query Gemini-3-Flash with k=3 trials using only the question text (no video),Evaluation _ Filter Language Prior Bias,include,,,,human reviewer 6
S0270,P14,structured distractor taxonomy that enables fine-grained analysis of where models hallucinate,Evaluation _ Assess Hallucination by Type,include,,,,human reviewer 6
S0271,P14,fine-grained error analysis to identify systematic failure modes by entity type,Reflection _ Diagnose Model Failure Modes,include,,,,human reviewer 6
S0272,P14,cross-video and temporal distractors cause the most errors,Reflection _ Analyze Cross-Video Reasoning Gaps,include,,,,human reviewer 6
S0273,P14,"ablation studies on GPT-5-mini under three degraded input conditions: No Video, Random Frame, Shuffled Frames",Reflection _ Conduct Ablation Study,include,,,,human reviewer 6
S0274,P14,"synchronize timelines across perspectives, enabling cross-video temporal alignment",Communication _ Synchronize Multi-POV Timelines,include,,,,human reviewer 6
S0275,P14,POV Identification: identify who performed what action in which video,Others _ Identify POV Source,include,,,,human reviewer 6
S0276,P16,completion results of preceding tasks influence subsequent ones,Planning _ Decompose Task Sequentially,include,,,,human reviewer 1
S0277,P16,todo_write tool (15 invocations by GPT-5.2),Planning _ Write Task Checklist,include,,,,human reviewer 1
S0278,P16,maintain context and execute logic over extended periods,Reasoning _ Maintain Long-Horizon Context,include,,,,human reviewer 1
S0279,P16,consuming 3.4 million tokens and 89 turns to secure top scores,Reasoning _ Generate Extended Reasoning Chain,include,,,,human reviewer 1
S0280,P16,"run_shell_command tool (425 and 362 invocations, respectively)",Execution _ Execute Shell Command,include,,,,human reviewer 1
S0281,P16,list_directory 158 times__early triple the average of other models,Execution _ Explore Directory Structure,include,,,,human reviewer 1
S0282,P16,"heavily utilizing the replace tool to make precise, localized edits",Execution _ Edit File Precisely,include,,,,human reviewer 1
S0283,P16,"prefers the write_file tool (381 invocations), suggesting a tendency to overwrite entire files",Execution _ Overwrite File Content,include,,,,human reviewer 1
S0284,P16,high reliance on web search to offload knowledge retrieval to external sources,Execution _ Search Web for Knowledge,include,,,yes,human reviewer 1
S0285,P16,Gemini-3-Pro...initialize_memory_bank (7 times),Execution _ Initialize Memory Bank,include,,,yes,human reviewer 1
S0286,P16,Gemini-3-Pro...update_memory_bank (22 times)...attempts to persist state and key information externally,Execution _ Update Memory Bank,include,,,yes,human reviewer 1
S0287,P16,agent engages in multi-turn interactions...to generate deliverables,Execution _ Generate Code Deliverable,include,,,yes,human reviewer 1
S0288,P16,"necessitates over 90 precise tool calls, significantly raising the bar",Execution _ Invoke Tools for Task Completion,include,,,yes,human reviewer 1
S0289,P16,deliverables are synced to a Docker-based remote sandbox...emulates human computer operations,Execution _ Execute Code in Remote Sandbox,include,,,yes,human reviewer 1
S0290,P16,Claude-4.5-Opus and GPT-5.2 rely more on specific search queries (search_file_content),Execution _ Search File Content,include,,,,human reviewer 1
S0291,P16,map the agent's deliverables to a score ranging from 0 to 10,Evaluation _ Score Deliverable via Rubric,include,,,yes,human reviewer 1
S0292,P16,Evaluates code quality and logic based on the text deliverables and rubrics,Evaluation _ Judge Code Quality,include,,,,human reviewer 1
S0293,P16,Evaluates dynamic behavior and visual correctness based on screenshots,Evaluation _ Judge Visual Correctness,include,,,yes,human reviewer 1
S0294,P16,rubrics are directly translated into assertion logic within the evaluation scripts,Evaluation _ Apply Rule-Based Assertion,include,,,,human reviewer 1
S0295,P16,Perform a Gap Analysis between the {Deliverables} and the {Rubrics},Evaluation _ Perform Gap Analysis,include,,,,human reviewer 1
S0296,P16,list exactly which rubrics were not met,Evaluation _ Identify Unmet Requirements,include,,,yes,human reviewer 1
S0297,P16,"Detect logical errors, missing functionalities, or violations of best practices",Evaluation _ Detect Code Defects,include,,,yes,human reviewer 1
S0298,P16,"Analyze {Visual Assets} for UI elements, layout consistency, and text rendering",Evaluation _ Inspect Visual Assets,include,,,yes,human reviewer 1
S0299,P16,Verify the implementation of every item listed in {Rubrics},Evaluation _ Verify Implementation Coverage,include,,,yes,human reviewer 1
S0300,P16,leverage feedback to markedly improve performance...feedback-driven self-correction,Reflection _ Incorporate Feedback for Correction,include,,,yes,human reviewer 1
S0301,P16,persistently adhering to erroneous paths despite external critique,Reflection _ Resist Error Correction,include,,,,human reviewer 1
S0302,P16,Explain the failure from a user requirement perspective,Reflection _ Diagnose Failure Root Cause,include,,,yes,human reviewer 1
S0303,P16,provides iterative feedback to bypass human-in-the-loop limitations,Communication _ Provide Iterative Feedback,include,,,,human reviewer 1
S0304,P16,Provide explicit instructions on what must be rectified in the next iteration,Communication _ Generate Revision Instructions,include,,,yes,human reviewer 1
S0305,P16,"agent receives task queries and deliverables, completing tasks through multi-turn interactions",Others _ Accept Task Query,include,,,yes,human reviewer 1
S0306,P17,Decomposing hard problems into subproblems often makes them easier and more efficient to solve,Planning _ Decompose Problem into Subproblems,include,,,yes,human reviewer 1
S0307,P17,"specifying a scope, or role, for an agent allows it to be treated as a computational object",Planning _ Define Agent Scope and Role,include,,,,human reviewer 1
S0308,P17,map each on to an employee in a human organization,Planning _ Assign Agent Roles Anthropomorphically,include,,,,human reviewer 1
S0309,P17,full code can be fixed by fixing each function independently,Planning _ Design Focused Subproblem Decomposition,include,,,,human reviewer 1
S0310,P17,delegator can determine which of the k tasks the input string belongs to by observing only a constant number of metadata tokens,Reasoning _ Identify Task Type for Routing,include,,,,human reviewer 1
S0311,P17,Making the capabilities set explicit in the design of an algorithm has the auxiliary benefit of raising awareness of the trade-offs,Reasoning _ Identify LLM Capability Requirements,include,,,,human reviewer 1
S0312,P17,characterize the fundamental trends in cost as the system scales,Reasoning _ Analyze Asymptotic Cost,include,,,,human reviewer 1
S0313,P17,comparatively analyze the asymptotic behavior of different LbAs on different problems,Reasoning _ Compare LbA Implementations,include,,,,human reviewer 1
S0314,P17,cost of identifying the task and solving it with the designated specialist,Execution _ Route Task to Specialist Agent,include,,,,human reviewer 1
S0315,P17,"Specialists each solve a distinct task type, receiving only the relevant portion of the input",Execution _ Execute Specialized Subtask,include,,,yes,human reviewer 1
S0316,P17,Processing the entire input and returning a constant sized answer,Execution _ Process Entire Input with Generalist,include,,,,human reviewer 1
S0317,P17,debugging specialist rewrites the entire code every time it fixes a bug,Execution _ Rewrite Entire Code to Fix Bug,include,,,,human reviewer 1
S0318,P17,fixes the bug by looking at and rewriting only that single function,Execution _ Fix Single Function in Codebase,include,,,,human reviewer 1
S0319,P17,alternate between M_q identifying a bug and M_d fixing it,Execution _ Alternate Agent Roles Iteratively,include,,,,human reviewer 1
S0320,P17,"M_u is applied to the entire string x, alters every block of x in some way",Execution _ Mutate Solution Globally,include,,,,human reviewer 1
S0321,P17,"applied to each block individually and in sequence, generating one updated block at a time",Execution _ Mutate Solution Locally per Block,include,,,,human reviewer 1
S0322,P17,"run a greedy algorithm, where we iteratively apply the mutator",Execution _ Run Greedy Iterative Optimization,include,,,,human reviewer 1
S0323,P17,"cost benefits from agents running asynchronously, in a distributed manner, or otherwise in parallel",Execution _ Parallelize Agent Computations,include,,,,human reviewer 1
S0324,P17,M_q has the capacity to identify exactly one bug at a time,Evaluation _ Detect Bug in Code,include,,,,human reviewer 1
S0325,P17,QA agent looks at all i previous versions of the code and previous QA comments,Evaluation _ Review Entire Codebase per Iteration,include,,,,human reviewer 1
S0326,P17,"it then looks only at a single function. Then, it will overall look at the entire code only a single time",Evaluation _ Review Targeted Function Only,include,,,,human reviewer 1
S0327,P17,replace x' as our current solution if it has higher fitness f(x') > f(x),Evaluation _ Evaluate Solution Fitness,include,,,,human reviewer 1
S0328,P17,error probabilities can compound even in the roll-outs of single LLMs,Evaluation _ Estimate Error Propagation Risk,include,,,,human reviewer 1
S0329,P17,apparent limitations of most existing multi-agent LLM approaches to relatively small codebases could be due in part to this scaling behavior,Reflection _ Identify Scaling Limitations of Approach,include,,,,human reviewer 1
S0330,P17,invite the reader to look back at the assumptions made in this section and see where there is room for improvement,Reflection _ Revisit Assumptions for Improvement,include,,,,human reviewer 1
S0331,P17,QA engineer identifies bugs by producing constant size messages,Communication _ Report Bug to Collaborating Agent,include,,,,human reviewer 1
S0332,P17,"entire conversation history, including prior versions of the code are fed as input to each agent at each iteration",Memory _ Accumulate Full Conversation History,include,,,,human reviewer 1
S0333,P17,collection and refinement of memories (represented in text) as the system encounters new scenarios,Memory _ Collect and Refine Experiences,include,,,,human reviewer 1
S0334,P17,some such decompositions lead to asymptotic improvements over others,Others _ Select Optimal System Decomposition,include,,,,human reviewer 1
S0335,P17,"automated external optimization process that refines the design of an agentic system, modifying agent scopes",Others _ Adapt Agent Scopes via Automated Optimization,include,,,,human reviewer 1
S0336,P19,"individual neural network blocks naturally become responsible for particular subtasks _ a phenomenon studied in (Elhage et al., 2021)",Planning _ Specialize in Assigned Subtask,not include,,,,human reviewer 1
S0337,P19,"the input matrix to _, commonly referred to as the attention scores, determines the relative importance of different tokens in the sequence",Reasoning _ Compute Interaction Score,not include,,,,human reviewer 1
S0338,P19,each agent's value function V_ri depends on other agents' initial states (positions),Reasoning _ Compute Value Function,not include,,,,human reviewer 1
S0339,P19,"whenever agent i collides with agent j (distinct), it receives a penalty of _1",Reasoning _ Compute Collision Reward,not include,,,,human reviewer 1
S0340,P19,the parameters themselves can be directly interpreted to uncover meaningful interactions among entities,Reasoning _ Interpret Learned Parameters,not include,,,,human reviewer 1
S0341,P19,our framework unifies some diverse application scenarios and offers a novel theoretical lens on how Transformers learn dependencies,Reasoning _ Unify Diverse Application Scenarios,not include,,,,human reviewer 1
S0342,P19,"by modeling triplet or higher-order interactions, hyper-attention more flexibly captures context-specific phrases, while suppressing incorrect ones",Reasoning _ Disambiguate Context via Higher-Order Interactions,not include,,,,human reviewer 1
S0343,P19,"a single layer linear self-attention can efficiently represent, learn, and generalize functions capturing pairwise interactions, including out-of-distribution scenarios",Execution _ Represent Pairwise Interactions,not include,,,,human reviewer 1
S0344,P19,self-attention acts as a mutual interaction learner under minimal assumptions on the diversity of interaction patterns observed during training,Execution _ Capture Mutual Dependencies,not include,,,,human reviewer 1
S0345,P19,"gradient descent training converges to the parameters realizing these interactions, under mild assumptions on the data",Execution _ Learn Interaction Functions,not include,,,,human reviewer 1
S0346,P19,enabling models to learn dependencies between input tokens effectively,Execution _ Process Token Sequences,not include,,,,human reviewer 1
S0347,P19,a novel neural network module designed to learn couplings of different feature-level interactions between entities,Execution _ Capture Feature Couplings,not include,,,,human reviewer 1
S0348,P19,"a new module that extends beyond pairwise interactions to capture multi-entity dependencies, such as three-way, four-way, or general n-way interactions",Execution _ Capture Higher-Order Interactions,not include,,,,human reviewer 1
S0349,P19,gradient flow on L^MSE converges to a solution that captures how the entities interact; the learned parameters generalize,Execution _ Update Parameters via Gradient Flow,not include,,,,human reviewer 1
S0350,P19,each agent executes a simple 'move-right' policy (one step to the right per time step if there is space to move),Execution _ Execute Movement Policy,not include,,,,human reviewer 1
S0351,P19,an allele μ _ S is activated if another allele ν exists somewhere in the sequence,Execution _ Activate Based on Context,not include,,,,human reviewer 1
S0352,P19,the linear self-attention mechanism can recognize patterns of arbitrary size and structure without changing the kernel size or other architectural hyperparameters,Execution _ Detect Spatial Patterns,not include,,,,human reviewer 1
S0353,P19,"a single-layer linear self-attention can represent this dependency structure exactly, following Theorem 3.1",Execution _ Predict From Past States,not include,,,,human reviewer 1
S0354,P19,HyperFeatureAttention can efficiently represent the couplings of feature interactions,Execution _ Represent Feature Coupling Functions,not include,,,,human reviewer 1
S0355,P19,"we empirically validate our linear-SA theories, i.e. representation (Theorem 3.1), convergence (Theorem 4.4), and generalization (Theorem 4.6, Theorem 4.8)",Evaluation _ Validate Theoretical Predictions,not include,,,,human reviewer 1
S0356,P19,gradient flow on L^MSE converges to zero training error under mild conditions,Evaluation _ Converge to Zero Training Error,not include,,,,human reviewer 1
S0357,P19,self-attention learns interaction functions and generalizes across both population distributions and out-of-distribution scenarios,Evaluation _ Assess Generalization Performance,not include,,,,human reviewer 1
S0358,P19,the learned parameters generalize to both the test distribution and to out-of-distribution (length generalization),Others _ Generalize to Unseen Data,not include,,,,human reviewer 1
S0359,P19,"any C_, W^V_ that generalizes to P^{L*}_{X_Y} must generalize to P^{γL}_{X_Y}",Others _ Generalize Across Sequence Lengths,not include,,,,human reviewer 1
S0360,P19,"leveraging techniques similar to those in (Katharopoulos et al., 2020; Choromanski et al., 2022), computational complexity reduces to O(LR^2)",Others _ Approximate Higher-Order Computations,not include,,,,human reviewer 1
S0361,P21,we construct prompt templates for creating reader agents based on user attributes ua and user historical posts uh,Planning _ Construct Agent Profile,include,yes,yes,yes,human reviewer 4
S0362,P21,"we establish a quaternary role system based on the dimensions of users' rationality-sensibility and action-hesitation and define four propagation roles: Emotional person, Gatekeeper, Onlooker, and Rationalist",Planning _ Assign Propagation Role,include,,,,human reviewer 4
S0363,P21,RAPPIE first utilizes LLM to create reader agents...develop a role-aware multi-view interactive propagation graph model...reader feedback enhanced implicit emotion identification,Planning _ Decompose Task into Subtasks,include,,,,human reviewer 4
S0364,P21,We randomly sample content from users' posts in the training set to build the prompts,Execution _ Sample Historical Posts,include,,,,human reviewer 4
S0365,P21,"reader agents...generate readers' feedback back to authors' content, including emotions, comments, and behaviors",Execution _ Generate Emotional Response,include,,,,human reviewer 4
S0366,P21,the generated emotions and comment content (with a CLS token added at the beginning) in r's feedback is denoted as c_r,Execution _ Generate Comment Content,include,,,,human reviewer 4
S0367,P21,"a global interactive multi-behavior overlapping network is constructed based on the simulated behaviors of reposting and reposting with a comment, as well as following",Execution _ Simulate Repost Behavior,include,yes,yes,yes,human reviewer 4
S0368,P21,"we adopt a broadcasting approach rather than relying on user-following connections for propagation simulation, to obtain more comprehensive simulation results",Execution _ Broadcast Posts to Readers,include,,,,human reviewer 4
S0369,P21,the LightGCN is adopted to model the interaction influence between users. The graph propagation learning and optimization processes are defined,Execution _ Propagate Node Embeddings via GNN,include,,,,human reviewer 4
S0370,P21,construct class-balanced training datasets by sampling instances from each emotional category...using the online LLM GLM4 to generate augmented data,Execution _ Augment Training Data,include,,,,human reviewer 4
S0371,P21,we employ a text similarity calculation method based on Tf-Idf to filter the top-k posts semantically relevant to the reader r's historical posts,Reasoning _ Filter Relevant Posts,include,,,,human reviewer 4
S0372,P21,we concatenate each role's description with example content and feed them into an online LLM...we obtain a more enriched role explanation,Reasoning _ Encode Role Description,include,,,,human reviewer 4
S0373,P21,a 2-layer self-attention mechanism is applied for semantic compression on the reader comment embeddings,Reasoning _ Compress Reader Feedback Semantics,include,,,,human reviewer 4
S0374,P21,A rewriting prompt 'Please repeat the following content: [r_extend]' is designed to acquire the semantic encodings of the propagation roles through the LLM-based encoder,Reasoning _ Provide Context for LLM Encoding,include,,,,human reviewer 4
S0375,P21,"After all views have been optimized, the node embedding of user u across these views collectively constitute the matrix H_u representing reader feedback",Reasoning _ Distill Multi-view Representations,include,,,,human reviewer 4
S0376,P21,"drawing upon the role behavior theory in communication, we establish a quaternary role system based on the dimensions of users' rationality-sensibility and action-hesitation",Reasoning _ Apply Role-Behavior Theory,include,,,,human reviewer 4
S0377,P21,use the top-k semantically relevant posts for feedback simulation to establish reposting and comment edges between nodes,Evaluation _ Assess Reader-Post Relevance,include,,,,human reviewer 4
S0378,P21,we employ a multi-head attention mechanism (MATT for short) to integrate the semantic features of propagation roles with the fused user embedding,Evaluation _ Evaluate Propagation Role Distribution,include,,,,human reviewer 4
S0379,P21,the output gate is then fed into the prediction layer to obtain the implicit emotion probability distribution,Evaluation _ Predict Emotion Label,include,,,,human reviewer 4
S0380,P21,The gated multi-head attention model is employed to fuse the reader-feedback enhanced author embeddings with content semantics and reader propagation roles' semantic matrix,Evaluation _ Fuse Reader Feedback with Content,include,,,,human reviewer 4
S0381,P21,"Rationalists do not always remain entirely rational. As an event unfolds, they may transition into other roles such as Emotional persons, Gatekeepers, or Onlookers",Reflection _ Model Behavioral Role Transition,include,,,,human reviewer 4
S0382,P21,"Given a predefined pair (s, u), where s represents implicit emotional text, authored by a user u",Communication _ Accept Post from Author,include,,,,human reviewer 4
S0383,P21,"I've been experiencing the sound of my neighbour's electric drill a lot lately too, and it's really annoying",Communication _ Generate Reader Response,include,,,,human reviewer 4
S0384,P21,"captures the global multi-behavioral interactions among users...three types of interactive behaviors: following, reposting, and reposting with a comment",Communication _ Simulate Social Media Interaction,include,,,,human reviewer 4
S0385,P21,"we construct an overlapping network that captures the global multi-behavioral interactions among users, including following, reposting, and reposting-with-comment edge sets",Others _ Construct Overlapping Network,include,,,,human reviewer 4
S0386,P22,the capacity to identify conflicts between queries and role knowledge or settings,Reasoning _ Identify Conflict Type,include,,,,human reviewer 4
S0387,P22,recognize queries that conflict with their role knowledge or capabilities,Reasoning _ Recognize Knowledge Boundary,include,,,,human reviewer 4
S0388,P22,violates specific content within the role profile,Evaluation _ Assess Query Against Role Profile,include,yes,yes,,human reviewer 4
S0389,P22,appropriately reject queries that exceed their knowledge boundaries,Communication _ Refuse Query,include,yes,yes,yes,human reviewer 4
S0390,P22,providing clear refusal responses with appropriate explanations,Communication _ Generate Refusal Response,include,yes,yes,yes,human reviewer 4
S0391,P22,avoiding both over-refusal and missed refusals,Reasoning _ Distinguish Conflict vs Non-Conflict Query,include,,,,human reviewer 4
S0392,P22,we obtain the model's hidden state representation at each layer,Execution _ Collect Activation Vectors,include,,,,human reviewer 4
S0393,P22,calculate the representation differences between conflict and non-conflict queries,Execution _ Compute Rejection Direction,include,,,,human reviewer 4
S0394,P22,we add the rejection direction to the original representation proportionally by λ,Execution _ Steer Internal Representation,include,,,,human reviewer 4
S0395,P22,Calculate the similarity between h^l and the rejection direction d^(l),Evaluation _ Compute Similarity to Rejection Direction,include,,,,human reviewer 4
S0396,P22,we analyzed model representations under different conflict scenarios,Reasoning _ Analyze Representation Space,include,,,,human reviewer 4
S0397,P22,we used linear probes to investigate whether models can distinguish between queries,Execution _ Train Linear Probe,include,,,,human reviewer 4
S0398,P22,we applied t-SNE visualization to the last layer representations,Execution _ Visualize Representation via t-SNE,include,,,,human reviewer 4
